FlowId,Source,SrcPort,Destination,DstPort,TxPackets,RxPackets,LostPackets,PDR(%),AvgDelay(ms),Jitter(ms),Throughput(Mbps)
547,10.1.0.15,49154,10.1.0.2,10266,1436,517,861,36.0028,468.8654,41.6408,0.0244
548,10.1.0.15,49155,10.1.0.3,10267,1436,7,1294,0.4875,930.0236,48.7520,0.0004
549,10.1.0.15,49156,10.1.0.4,10268,1435,563,812,39.2334,509.2048,57.4541,0.0265
550,10.1.0.15,49157,10.1.0.5,10269,1435,1,1276,0.0697,498.5324,0.0000,0.0023
551,10.1.0.15,49158,10.1.0.6,10270,1435,501,878,34.9129,502.2882,60.1887,0.0236
553,10.1.0.15,49159,10.1.0.7,10271,1434,479,899,33.4031,476.2675,45.6781,0.0226
556,10.1.0.15,49160,10.1.0.8,10272,1434,582,787,40.5858,479.4203,55.9557,0.0274
557,10.1.0.15,49161,10.1.0.9,10273,1433,575,796,40.1256,479.7701,53.3164,0.0271
558,10.1.0.15,49162,10.1.0.10,10274,1433,4,1276,0.2791,944.8545,77.2200,0.0002
559,10.1.0.15,49163,10.1.0.11,10275,1433,494,875,34.4731,473.3514,51.4239,0.0235
565,10.1.0.15,49164,10.1.0.12,10276,1432,497,863,34.7067,505.6298,67.5257,0.0235
566,10.1.0.15,49165,10.1.0.13,10277,1432,501,873,34.9860,485.4054,52.5599,0.0236
567,10.1.0.15,49166,10.1.0.14,10278,1431,493,873,34.4514,491.0568,52.2670,0.0233
569,10.1.0.15,49167,10.1.0.16,10279,1431,558,804,38.9937,484.7127,52.3174,0.0264
573,10.1.0.15,49168,10.1.0.17,10280,1431,535,840,37.3864,478.8473,52.1813,0.0253
580,10.1.0.15,49169,10.1.0.18,10281,1430,457,907,31.9580,485.2403,51.3300,0.0216
582,10.1.0.15,49170,10.1.0.19,10282,1430,452,922,31.6084,493.7542,58.0133,0.0216
583,10.1.0.15,49171,10.1.0.20,10283,1429,408,958,28.5514,483.3278,59.0635,0.0193
584,10.1.0.16,49153,10.1.0.1,10284,1429,622,756,43.5269,451.0633,63.2506,0.0294
585,10.1.0.16,49154,10.1.0.2,10285,1428,608,774,42.5770,466.8243,69.0165,0.0288
586,10.1.0.16,49155,10.1.0.3,10286,1428,508,847,35.5742,463.9134,68.0674,0.0242
587,10.1.0.16,49156,10.1.0.4,10287,1428,618,749,43.2773,495.6313,71.3807,0.0294
589,10.1.0.16,49157,10.1.0.5,10288,1427,601,767,42.1163,490.5699,75.1628,0.0285
590,10.1.0.16,49158,10.1.0.6,10289,1427,536,831,37.5613,517.6760,78.3327,0.0254
592,10.1.0.16,49159,10.1.0.7,10290,1426,4,1269,0.2805,903.7546,83.9583,0.0002
593,10.1.0.16,49160,10.1.0.8,10291,1426,2,1272,0.1403,798.3539,68.7864,0.0001
594,10.1.0.16,49161,10.1.0.9,10292,1426,7,1268,0.4909,867.1654,102.9659,0.0003
595,10.1.0.16,49162,10.1.0.10,10293,1425,5,1264,0.3509,937.7779,97.3849,0.0003
596,10.1.0.16,49163,10.1.0.11,10294,1425,10,1260,0.7018,857.4537,106.4759,0.0005
597,10.1.0.16,49164,10.1.0.12,10295,1424,547,821,38.4129,499.6399,76.3431,0.0260
598,10.1.0.16,49165,10.1.0.13,10296,1424,566,818,39.7472,452.0780,57.0845,0.0269
599,10.1.0.16,49166,10.1.0.14,10297,1423,5,1265,0.3514,868.2324,160.9017,0.0003
600,10.1.0.16,49167,10.1.0.15,10298,1423,537,815,37.7372,468.5354,66.6077,0.0255
601,10.1.0.16,49168,10.1.0.17,10299,1423,1,1265,0.0703,993.7341,0.0000,0.0003
602,10.1.0.16,49169,10.1.0.18,10300,1422,523,815,36.7792,507.2944,94.1925,0.0249
603,10.1.0.16,49170,10.1.0.19,10301,1422,519,852,36.4979,482.4604,64.9567,0.0248
604,10.1.0.16,49171,10.1.0.20,10302,1421,580,778,40.8163,469.7736,68.6619,0.0277
605,10.1.0.17,49153,10.1.0.1,10303,1421,468,856,32.9346,495.3840,55.8502,0.0225
606,10.1.0.17,49154,10.1.0.2,10304,1421,474,863,33.3568,478.5738,62.1745,0.0226
607,10.1.0.17,49155,10.1.0.3,10305,1420,457,900,32.1831,487.4304,53.2198,0.0218
608,10.1.0.17,49156,10.1.0.4,10306,1420,9,1264,0.6338,942.2264,35.1804,0.0005
609,10.1.0.17,49157,10.1.0.5,10307,1419,429,939,30.2326,483.4477,48.2282,0.0205
610,10.1.0.17,49158,10.1.0.6,10308,1419,3,1262,0.2114,953.1442,25.8312,0.0002
611,10.1.0.17,49159,10.1.0.7,10309,1419,406,931,28.6117,476.4858,37.8365,0.0194
617,10.1.0.17,49160,10.1.0.8,10310,1418,484,850,34.1326,497.2858,53.8252,0.0231
623,10.1.0.17,49161,10.1.0.9,10311,1418,505,848,35.6135,486.6313,54.2512,0.0241
632,10.1.0.17,49162,10.1.0.10,10312,1417,406,936,28.6521,486.3919,43.4340,0.0195
634,10.1.0.17,49163,10.1.0.11,10313,1417,443,917,31.2632,498.9164,61.5202,0.0212
635,10.1.0.17,49164,10.1.0.12,10314,1416,446,904,31.4972,487.9679,46.8028,0.0214
636,10.1.0.17,49165,10.1.0.13,10315,1416,558,796,39.4068,467.4326,35.5054,0.0267
637,10.1.0.17,49166,10.1.0.14,10316,1416,442,884,31.2147,489.3589,49.1955,0.0211
638,10.1.0.17,49167,10.1.0.15,10317,1415,462,879,32.6502,487.5696,55.7118,0.0221
643,10.1.0.17,49168,10.1.0.16,10318,1415,525,815,37.1025,480.7738,39.6147,0.0251
651,10.1.0.17,49169,10.1.0.18,10319,1414,455,870,32.1782,503.6067,63.1106,0.0218
655,10.1.0.17,49170,10.1.0.19,10320,1414,396,960,28.0057,479.3654,48.0380,0.0192
656,10.1.0.17,49171,10.1.0.20,10321,1414,391,940,27.6521,490.8415,49.7901,0.0188
657,10.1.0.18,49153,10.1.0.1,10322,1413,566,781,40.0566,481.1293,62.4145,0.0271
658,10.1.0.18,49154,10.1.0.2,10323,1413,587,778,41.5428,464.8415,58.8087,0.0281
659,10.1.0.18,49155,10.1.0.3,10324,1412,527,823,37.3229,466.6283,57.3671,0.0252
660,10.1.0.18,49156,10.1.0.4,10325,1412,511,849,36.1898,471.3772,58.3032,0.0245
661,10.1.0.18,49157,10.1.0.5,10326,1412,494,859,34.9858,480.6341,65.1395,0.0237
662,10.1.0.18,49158,10.1.0.6,10327,1411,2,1253,0.1417,899.3389,150.3879,0.0001
663,10.1.0.18,49159,10.1.0.7,10328,1411,532,828,37.7038,491.6230,69.1802,0.0255
665,10.1.0.18,49160,10.1.0.8,10329,1410,568,777,40.2837,478.3565,62.2382,0.0272
666,10.1.0.18,49161,10.1.0.9,10330,1410,6,1260,0.4255,618.9764,210.5988,0.0004
667,10.1.0.18,49162,10.1.0.10,10331,1409,4,1248,0.2839,921.0256,51.6676,0.0003
668,10.1.0.18,49163,10.1.0.11,10332,1409,600,760,42.5834,473.5893,52.4374,0.0288
669,10.1.0.18,49164,10.1.0.12,10333,1409,537,812,38.1121,503.4433,78.6005,0.0258
670,10.1.0.18,49165,10.1.0.13,10334,1408,484,866,34.3750,473.8720,57.4988,0.0232
672,10.1.0.18,49166,10.1.0.14,10335,1408,20,1240,1.4205,895.3176,48.6789,0.0010
673,10.1.0.18,49167,10.1.0.15,10336,1407,563,792,40.0142,463.5624,52.8099,0.0270
674,10.1.0.18,49168,10.1.0.16,10337,1407,521,820,37.0291,500.1787,60.8786,0.0250
675,10.1.0.18,49169,10.1.0.17,10338,1407,503,844,35.7498,479.3833,54.4764,0.0242
677,10.1.0.18,49170,10.1.0.19,10339,1406,481,856,34.2105,493.4703,65.8964,0.0231
678,10.1.0.18,49171,10.1.0.20,10340,1406,541,806,38.4780,492.3544,58.2774,0.0260
679,10.1.0.19,49153,10.1.0.1,10341,1405,444,887,31.6014,480.1400,50.0549,0.0214
680,10.1.0.19,49154,10.1.0.2,10342,1405,427,894,30.3915,467.7570,53.2717,0.0207
681,10.1.0.19,49155,10.1.0.3,10343,1405,387,935,27.5445,482.7163,53.8425,0.0186
682,10.1.0.19,49156,10.1.0.4,10344,1404,400,921,28.4900,488.2534,60.8160,0.0192
683,10.1.0.19,49157,10.1.0.5,10345,1404,472,863,33.6182,467.9649,39.2661,0.0227
684,10.1.0.19,49158,10.1.0.6,10346,1403,10,1237,0.7128,966.0255,22.5725,0.0006
685,10.1.0.19,49159,10.1.0.7,10347,1403,421,892,30.0071,469.8000,48.7563,0.0205
686,10.1.0.19,49160,10.1.0.8,10348,1402,426,900,30.3852,487.6553,50.6705,0.0205
687,10.1.0.19,49161,10.1.0.9,10349,1402,508,814,36.2340,475.8688,39.1710,0.0245
688,10.1.0.19,49162,10.1.0.10,10350,1402,436,896,31.0984,464.5651,40.8671,0.0210
689,10.1.0.19,49163,10.1.0.11,10351,1401,437,905,31.1920,495.3709,59.9965,0.0212
691,10.1.0.19,49164,10.1.0.12,10352,1401,7,1247,0.4996,945.3068,43.7909,0.0005
693,10.1.0.19,49165,10.1.0.13,10353,1400,462,855,33.0000,478.8204,47.9571,0.0223
696,10.1.0.19,49166,10.1.0.14,10354,1400,430,883,30.7143,476.9842,52.1500,0.0209
697,10.1.0.19,49167,10.1.0.15,10355,1400,446,868,31.8571,484.7066,47.6103,0.0216
700,10.1.0.19,49168,10.1.0.16,10356,1399,443,871,31.6655,475.8339,42.4523,0.0214
702,10.1.0.19,49169,10.1.0.17,10357,1399,428,891,30.5933,468.0902,39.1336,0.0209
703,10.1.0.19,49170,10.1.0.18,10358,1398,348,960,24.8927,468.3145,45.8740,0.0169
704,10.1.0.19,49171,10.1.0.20,10359,1398,358,957,25.6080,491.1751,60.4685,0.0175
705,10.1.0.20,49153,10.1.0.1,10360,1398,477,854,34.1202,507.8434,65.7642,0.0231
706,10.1.0.20,49154,10.1.0.2,10361,1397,465,868,33.2856,468.9743,47.1787,0.0225
707,10.1.0.20,49155,10.1.0.3,10362,1397,455,870,32.5698,476.4673,58.4384,0.0221
709,10.1.0.20,49156,10.1.0.4,10363,1396,486,849,34.8138,478.0917,51.6609,0.0235
710,10.1.0.20,49157,10.1.0.5,10364,1396,445,891,31.8768,474.6093,46.7678,0.0216
711,10.1.0.20,49158,10.1.0.6,10365,1395,6,1235,0.4301,940.9176,31.7596,0.0003
712,10.1.0.20,49159,10.1.0.7,10366,1395,528,802,37.8495,470.0864,41.6010,0.0256
715,10.1.0.20,49160,10.1.0.8,10367,1395,458,866,32.8315,481.9674,53.4727,0.0222
716,10.1.0.20,49161,10.1.0.9,10368,1394,444,888,31.8508,482.6954,44.5227,0.0215
717,10.1.0.20,49162,10.1.0.10,10369,1394,2,1243,0.1435,874.6461,200.2985,0.0001
718,10.1.0.20,49163,10.1.0.11,10370,1393,480,849,34.4580,479.0455,43.8754,0.0233
719,10.1.0.20,49164,10.1.0.12,10371,1393,433,886,31.0840,482.2942,54.6302,0.0212
721,10.1.0.20,49165,10.1.0.13,10372,1393,425,909,30.5097,490.3770,53.7649,0.0206
722,10.1.0.20,49166,10.1.0.14,10373,1392,478,848,34.3391,487.9756,49.6241,0.0232
723,10.1.0.20,49167,10.1.0.15,10374,1392,484,844,34.7701,479.2522,48.6903,0.0239
724,10.1.0.20,49168,10.1.0.16,10375,1391,380,965,27.3185,480.4057,43.4555,0.0185
726,10.1.0.20,49169,10.1.0.17,10376,1391,437,881,31.4162,487.7908,49.6225,0.0218
729,10.1.0.20,49170,10.1.0.18,10377,1391,370,963,26.5996,469.6670,46.0687,0.0180
730,10.1.0.20,49171,10.1.0.19,10378,1390,399,919,28.7050,503.7097,54.9022,0.0196

# Summary
RoutingOverhead(%),20.66
RouteDiscoveryTime(s),0.0192
TotalRoutingPackets,703198
TotalDataTxPackets,557927
