FlowId,Source,SrcPort,Destination,DstPort,TxPackets,RxPackets,LostPackets,PDR(%),AvgDelay(ms),Jitter(ms),Throughput(Mbps)
100,10.1.0.3,49168,10.1.0.17,10052,1525,506,948,33.1803,446.7304,36.1267,0.0226
101,10.1.0.3,49169,10.1.0.18,10053,1524,469,987,30.7743,449.4142,40.2671,0.0208
102,10.1.0.3,49170,10.1.0.19,10054,1524,447,1006,29.3307,442.1399,49.0585,0.0201
103,10.1.0.3,49171,10.1.0.20,10055,1523,452,1000,29.6783,463.2174,46.7903,0.0201
104,10.1.0.4,49153,10.1.0.1,10056,1523,447,998,29.3500,472.3117,44.2027,0.0200
105,10.1.0.4,49154,10.1.0.2,10057,1522,456,989,29.9606,473.3313,55.0220,0.0203
106,10.1.0.4,49155,10.1.0.3,10058,1522,452,1016,29.6978,470.6912,48.4281,0.0203
107,10.1.0.4,49156,10.1.0.5,10059,1522,454,990,29.8292,451.9098,36.9358,0.0202
108,10.1.0.4,49157,10.1.0.6,10060,1521,411,1053,27.0217,446.1261,38.6684,0.0183
109,10.1.0.4,49158,10.1.0.7,10061,1521,394,1050,25.9040,444.7959,36.4565,0.0175
110,10.1.0.4,49159,10.1.0.8,10062,1520,393,1054,25.8553,464.6814,47.3668,0.0176
111,10.1.0.4,49160,10.1.0.9,10063,1520,445,995,29.2763,456.5845,34.7971,0.0198
112,10.1.0.4,49161,10.1.0.10,10064,1520,429,1014,28.2237,449.4542,35.2779,0.0191
113,10.1.0.4,49162,10.1.0.11,10065,1519,435,1034,28.6373,452.1628,36.7832,0.0194
114,10.1.0.4,49163,10.1.0.12,10066,1519,500,935,32.9164,453.9145,35.8740,0.0224
115,10.1.0.4,49164,10.1.0.13,10067,1518,411,1052,27.0751,447.3098,30.7332,0.0183
116,10.1.0.4,49165,10.1.0.14,10068,1518,471,994,31.0277,466.7332,48.9671,0.0212
117,10.1.0.4,49166,10.1.0.15,10069,1517,415,1040,27.3566,454.9361,38.6668,0.0185
118,10.1.0.4,49167,10.1.0.16,10070,1517,465,977,30.6526,464.1291,44.9279,0.0208
119,10.1.0.4,49168,10.1.0.17,10071,1517,535,928,35.2670,453.8782,25.7552,0.0239
120,10.1.0.4,49169,10.1.0.18,10072,1516,439,1007,28.9578,459.0032,39.8692,0.0196
123,10.1.0.4,49170,10.1.0.19,10073,1516,429,1004,28.2982,454.0769,44.1352,0.0192
128,10.1.0.4,49171,10.1.0.20,10074,1515,375,1078,24.7525,489.4742,54.2709,0.0168
134,10.1.0.5,49153,10.1.0.1,10075,1515,450,1015,29.7030,477.2812,47.7609,0.0201
136,10.1.0.5,49154,10.1.0.2,10076,1515,533,923,35.1815,451.1683,37.5025,0.0238
137,10.1.0.5,49155,10.1.0.3,10077,1514,476,969,31.4399,454.9717,41.1675,0.0213
138,10.1.0.5,49156,10.1.0.4,10078,1514,432,1008,28.5337,441.6994,33.7950,0.0193
139,10.1.0.5,49157,10.1.0.6,10079,1513,470,991,31.0641,458.5786,34.4845,0.0210
140,10.1.0.5,49158,10.1.0.7,10080,1513,466,1001,30.7997,464.3698,44.3199,0.0208
141,10.1.0.5,49159,10.1.0.8,10081,1513,490,954,32.3860,451.2321,31.5670,0.0220
142,10.1.0.5,49160,10.1.0.9,10082,1512,584,867,38.6243,462.3574,43.7758,0.0262
143,10.1.0.5,49161,10.1.0.10,10083,1512,464,993,30.6878,456.0862,37.7411,0.0207
144,10.1.0.5,49162,10.1.0.11,10084,1511,466,984,30.8405,445.3587,30.0036,0.0210
